ON;16;16.5;17;17.5;18;18.5;19;19.5;20;20.5;21;21.5;22;22.5;23;23.5;24;24.5;25
16;0.3;0.5;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.5;0.1;0.2;0.5;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0.1;0.2;0.5;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.5;0;0;0.1;0.2;0.5;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0.1;0.2;0.5;0.2;0;0;0;0;0;0;0;0;0;0;0;0
18.5;0;0;0;0;0.1;0.2;0.5;0.2;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0.1;0.2;0.5;0.2;0;0;0;0;0;0;0;0;0;0
19.5;0;0;0;0;0;0;0.1;0.2;0.5;0.2;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0.1;0.2;0.5;0.2;0;0;0;0;0;0;0;0
20.5;0;0;0;0;0;0;0;0;0.1;0.2;0.5;0.2;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0.1;0.2;0.5;0.2;0;0;0;0;0;0
21.5;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.5;0.2;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.5;0.2;0;0;0;0
22.5;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.5;0.2;0;0;0
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.5;0.2;0;0
23.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.5;0.2;0
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.5;0.2
24.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.7
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.9
